trial,value,lasso_alpha,catboost_iterations,catboost_learning_rate,catboost_depth,catboost_l2_leaf_reg,ensemble_lasso_weight,cv_rmse_log_mean,cv_rmse_log_std,oof_rmse_log,oof_mae_price,oof_rmse_price,oof_mape_percent,oof_wape_percent
10,0.11968598365923722,1.038049376850602e-05,700,0.03414341532654162,5,8.756803011764278,0.675092685454309,0.11968598365923722,0.010147594229175213,0.12011942557924635,13831.93278392239,21633.619983841025,8.19657591900673,7.644785070197159
11,0.11202134814801339,4.991607327397618e-05,700,0.07970170624572193,7,6.433278758484463,0.5164939906753497,0.11202134814801339,0.008564374314776453,0.11235363144859206,13194.076566052805,20733.68984331797,7.744387064366137,7.292247665087023
12,0.10957157323414517,0.00027026217670964324,600,0.030432357017097164,6,4.928062472466518,0.5461085537231889,0.10957157323414517,0.006560385254738721,0.10977117059392445,12965.694136092716,20394.942405155354,7.581258562067599,7.166022746405837
13,0.11373115717085955,0.0021244449153577363,800,0.030806378960411048,6,4.373921147365382,0.6832061534682587,0.11373115717085955,0.009182948013644198,0.11410613242902039,13590.552996534063,20738.169861316426,7.999065047813035,7.511376628752263
14,0.10985953211295788,0.0002688948785302213,600,0.05096512325892231,6,9.573637046200984,0.38522267617549427,0.10985953211295788,0.006755949480626263,0.11006843598840693,13062.409946458214,20679.85457037038,7.610941360169987,7.219476706505584
15,0.11575506168042608,3.1799060597822656e-05,800,0.026677283470255966,6,4.2134125008823675,0.6248460785854938,0.11575506168042608,0.00870875369198751,0.11608649110551064,13512.499345676211,21199.06972536823,7.966958625319537,7.468237076668403
16,0.1128062697581282,0.00026061919035933525,500,0.04662610613082697,5,1.766955601985233,0.9681814157552902,0.1128062697581282,0.006126498618834998,0.11297592714308373,13424.257971288549,20417.661337423357,7.93778223305236,7.419466861252334
17,0.11141965413034738,6.251710953944738e-05,800,0.059997778707349986,6,6.4674532798208375,0.3378971134408188,0.11141965413034738,0.008180369389481596,0.11172184693351396,13152.39888590539,21273.69729868894,7.647562929834311,7.269212785440864
18,0.11071935338959034,0.0010160792296999507,1000,0.026239188732249976,7,3.68670845401093,0.7660914768014466,0.11071935338959034,0.007661303013770381,0.11098841805885976,13162.779234688578,20100.98027183304,7.776285670002784,7.274949911021274
19,0.11028634037372827,0.00018263163447777083,500,0.07217362490082967,5,2.0132260095721954,0.43034631258879963,0.11028634037372827,0.006881972336824872,0.11050247083541334,13014.429363700405,20463.104939287772,7.61320388018946,7.192958269172473
20,0.1127121614639861,6.409289129499303e-05,700,0.037897078393000584,6,6.276137060407514,0.5735066296852682,0.1127121614639861,0.0074747957029544735,0.11296345072413623,13246.499038678394,20732.22572061145,7.794423319973812,7.321221095071929
21,0.10893189714780538,0.0003679146994963935,600,0.024373593596290575,7,4.9567017331499,0.4716520252689437,0.10893189714780538,0.007415439152628661,0.1091882592244724,12977.772760068248,20573.75822895169,7.570961716724546,7.172698493438386
22,0.10998611417667523,0.00036852520711976814,500,0.023497543338938942,7,5.293730008808092,0.46770624720315324,0.10998611417667523,0.007682322459073853,0.11025826008957108,13109.417584755525,20769.560744258255,7.648430070706564,7.245457406170221
